City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,paciran,-6.8767,112.3761,28.21,74,27,4.11,ID,1698593130
333,peace river,56.2501,-117.286,-8.52,99,20,0.0,CA,1698592997
334,namtsy,62.7161,129.6658,-10.34,91,100,3.18,RU,1698593131
335,lidzbark,53.2628,19.8266,10.55,84,100,3.81,PL,1698593131
336,aykhal,66.0,111.5,-18.73,93,100,5.62,RU,1698593131
337,deqing,30.5448,119.9599,18.86,89,14,0.56,CN,1698593131
338,buncrana,55.1333,-7.45,13.87,82,97,5.69,IE,1698593095
339,williams lake,52.1415,-122.1445,-6.24,73,20,2.57,CA,1698593132
340,carutapera,-1.195,-46.02,30.18,61,99,5.36,BR,1698593132
341,rapar,23.5667,70.6333,29.71,33,86,2.41,IN,1698593132
342,newman,37.3138,-121.0208,7.92,54,0,2.24,US,1698593133
343,queenstown,-31.8976,26.8753,9.84,45,5,8.79,ZA,1698593133
344,kolondieba,11.0882,-6.8926,35.81,24,3,2.9,ML,1698592877
345,aldan,58.6031,125.3894,-8.4,97,100,1.47,RU,1698593134
346,sapele,5.8941,5.6767,32.02,60,97,1.23,NG,1698593134
347,kristiansund,63.1115,7.732,5.03,70,0,4.12,NO,1698593134
348,cerqueira cesar,-23.0356,-49.1661,29.75,55,87,7.2,BR,1698593134
349,al kharijah,25.4514,30.5464,31.73,23,0,4.27,EG,1698593135
350,new norfolk,-42.7826,147.0587,11.51,74,100,1.88,AU,1698593135
351,tangalle,6.024,80.7911,25.09,82,48,0.86,LK,1698593135
352,san patricio,28.017,-97.5169,29.92,68,1,4.9,US,1698593135
353,byron bay,-28.65,153.6167,13.17,78,37,1.76,AU,1698593136
354,dubove,48.1721,23.8895,11.7,89,53,2.02,UA,1698593136
355,acatic,20.7833,-102.8833,19.93,67,15,0.4,MX,1698593136
356,tokmok,42.8417,75.3016,18.44,38,100,0.33,KG,1698593136
357,dapa,9.7594,126.0531,27.52,78,93,1.96,PH,1698592996
358,montmagny,48.9734,2.3469,16.62,65,40,7.72,FR,1698593137
359,den burg,53.0542,4.7972,13.31,81,75,7.2,NL,1698593137
360,nema,57.5067,50.5011,-1.42,96,100,4.55,RU,1698593137
361,kolonia,50.9333,6.95,16.74,68,20,7.72,DE,1698592945
362,tofol,5.3248,163.0078,26.57,83,100,1.49,FM,1698593138
363,nagqu,31.5,92.0,-3.2,65,100,1.97,CN,1698593138
364,sambava,-14.2667,50.1667,25.85,78,3,4.45,MG,1698593138
